V,price,err,ERR,sign
57.931307999999994,552,-160.38896816488113,160.38896816488113,-1.0
48.04518600000001,552,227.20832959428367,227.20832959428367,1.0
49.853232000000006,552,156.32171259479014,156.32171259479014,1.0
49.898920000000004,552,154.53045963027898,154.53045963027898,1.0
68.480192,552,-573.9706468832801,573.9706468832801,-1.0
45.619044,553,323.32814332711223,323.32814332711223,1.0
52.97237399999999,553,35.032000761665586,35.032000761665586,1.0
50.82987,553,119.03144572483711,119.03144572483711,1.0
50.362559999999995,553,137.3528960585311,137.3528960585311,1.0
49.45941,554,173.76197754378768,173.76197754378768,1.0
48.634496000000006,554,206.10372259646874,206.10372259646874,1.0
48.680775000000004,554,204.28929876647794,204.28929876647794,1.0
49.593216000000005,554,168.5159524569067,168.5159524569067,1.0
44.027682,554,386.7194036167002,386.7194036167002,1.0
44.06179500000001,554,385.38196244224764,385.38196244224764,1.0
43.137024000000004,554,421.63872122451266,421.63872122451266,1.0
41.08846499999999,554,501.9549395253007,501.9549395253007,1.0
42.34377,554,452.73919791665253,452.73919791665253,1.0
41.208,554,497.26842614951534,497.26842614951534,1.0
42.007107999999995,554,465.9384363499023,465.9384363499023,1.0
41.455847999999996,554,487.55124735534173,487.55124735534173,1.0
62.32348500000001,554,-330.589547571039,330.589547571039,-1.0
43.94075,554,390.127677183302,390.127677183302,1.0
40.449288,554,527.0146422064738,527.0146422064738,1.0
51.420915,554,96.85881596626587,96.85881596626587,1.0
116.39627999999999,2757,-247.5784799638718,247.5784799638718,-1.0
143.71632,2757,-1318.6934913578548,1318.6934913578548,-1.0
113.1165,2757,-118.99076222737722,118.99076222737722,-1.0
115.865184,2759,-224.75622281888582,224.75622281888582,-1.0
126.43721999999998,2759,-639.2456035298069,639.2456035298069,-1.0
116.66069999999999,2759,-255.9453839403227,255.9453839403227,-1.0
111.82464,2759,-66.34183789859026,66.34183789859026,-1.0
151.837455,2759,-1635.0923519765474,1635.0923519765474,-1.0
118.728136,2760,-336.0016977193777,336.0016977193777,-1.0
129.571686,2760,-761.1361112049085,761.1361112049085,-1.0
121.7275,2760,-453.5953690695919,453.5953690695919,-1.0
128.0208,2760,-700.3317611541484,700.3317611541484,-1.0
121.80869999999999,2760,-456.7789126853836,456.7789126853836,-1.0
121.59868499999999,2760,-448.5450221377164,448.5450221377164,-1.0
129.70821600000002,2760,-766.4889339864872,766.4889339864872,-1.0
123.58698,2760,-526.4985178712363,526.4985178712363,-1.0
126.48950999999998,2760,-640.2956958410109,640.2956958410109,-1.0
121.02055699999998,2761,-424.87881889250866,424.87881889250866,-1.0
135.05544,2761,-975.1332791516538,975.1332791516538,-1.0
97.86488999999999,2761,482.9669427732965,482.9669427732965,1.0
131.23919999999998,2761,-825.5130022017588,825.5130022017588,-1.0
122.61664,2761,-487.45517166251784,487.45517166251784,-1.0
145.89590400000003,2761,-1400.1467022973047,1400.1467022973047,-1.0
119.72147400000001,2762,-372.94670816548614,372.94670816548614,-1.0
119.23128,2762,-353.7280631014496,353.7280631014496,-1.0
120.727,2762,-412.36956380357924,412.36956380357924,-1.0
130.71801600000003,2762,-804.0793569326338,804.0793569326338,-1.0
117.95097599999998,2762,-303.5322056448799,303.5322056448799,-1.0
115.18675200000001,2762,-195.15748067172854,195.15748067172854,-1.0
132.060134,2762,-856.6987065698245,856.6987065698245,-1.0
116.06917200000001,2762,-229.75381758610683,229.75381758610683,-1.0
122.40668000000001,2762,-478.2234374559698,478.2234374559698,-1.0
109.79218800000001,2762,16.342886103926958,16.342886103926958,1.0
110.27151800000001,2762,-2.4498227797898835,2.4498227797898835,-1.0
114.980364,2762,-187.06579101931266,187.06579101931266,-1.0
109.27891,2762,36.4665671387379,36.4665671387379,1.0
134.52201,2763,-952.2195147308144,952.2195147308144,-1.0
103.00233599999999,2763,283.5471962858842,283.5471962858842,1.0
146.234907,2763,-1411.4377224498203,1411.4377224498203,-1.0
142.672815,2763,-1271.78162336774,1271.78162336774,-1.0
125.636056,2763,-603.8350057785433,603.8350057785433,-1.0
115.32672,2764,-198.64509437634888,198.64509437634888,-1.0
114.89020399999998,2764,-181.53095983212143,181.53095983212143,-1.0
112.08809000000001,2765,-70.67071185894156,70.67071185894156,-1.0
125.23812,2765,-586.2334465138397,586.2334465138397,-1.0
103.24331999999998,2765,276.0991288633704,276.0991288633704,1.0
114.59450799999999,2765,-168.9378426767612,168.9378426767612,-1.0
115.09106100000001,2765,-188.405799980364,188.405799980364,-1.0
125.45038799999999,2765,-594.5556686349851,594.5556686349851,-1.0
105.46152400000001,2766,190.13177439631227,190.13177439631227,1.0
116.65485,2766,-248.7160276576583,248.7160276576583,-1.0
