orginal,sample_09,sample_01,sample_095,sample_005
-1.25,2.5713111724633815,-2.8226553871716704,3.3595892209062908,-3.6045109191625673
-1.625,3.240303715762103,-3.414405292004021,4.1282761321844195,-4.356359267211689
-0.0892857142857135,3.5759389789479847,-3.7328920171931776,4.583231383268313,-4.754135935280138
0.2916666666666661,3.71642554358932,-3.7662660453935723,4.794391846677556,-4.850309022510513
2.071428571428571,3.7950168029842595,-3.8949706695645347,4.8833923719034065,-4.970645922650408
0.25,3.7796731484533153,-3.855553797674628,4.831156501665561,-4.8707979890358954
1.875,3.752447122476551,-3.8399727061886417,4.877253800208268,-4.961467374998504
6.5,3.863034446266635,-3.8778300195626536,4.906760864397698,-4.9776559626567005
6.75,3.835525179748668,-3.8821576446914396,4.850193575034817,-5.021189059108524
3.125,3.7818725488255844,-3.97611822866011,4.853122080356324,-5.018259612892831
-0.875,3.885465091592616,-3.9312105480256623,4.998417232345958,-4.952143493597669
-0.625,3.8687069217244203,-3.9948136948006,4.924661823498198,-5.049731867262745
0.875,3.8565201266394107,-3.95152410092941,4.886820452452443,-5.119801755407234
1.2857142857142865,3.95356801548805,-4.027881683939044,5.032872072219313,-5.094726687441829
1.2142857142857135,3.8035465766936336,-4.004842178651856,4.884716026927363,-5.11807939548543
3.2678571428571423,3.8151458840732233,-4.014321864633141,4.999934984512204,-5.120992253911577
1.625,3.866703852294842,-3.9690480791973535,5.03180117948378,-5.147519763863019
-0.9821428571428577,3.8801296492782926,-4.069082366467676,5.0793389486082035,-5.103561588019417
-6.5,3.8963861567707467,-4.115578721034924,5.048342747201258,-5.199344179920148
-5.0,3.843134561270628,-3.932766716598861,4.962567259564969,-5.0972464317931925
-3.875,3.8749863883432996,-3.8844505070688644,5.019989125898799,-5.077490694251331
-5.75,3.8719908175352615,-3.9338488014927604,5.068146923436718,-5.000014264940167
-6.375,3.8880642902514087,-3.928662803420385,4.980065414251468,-5.132545294248905
-5.5,3.85767440938715,-3.957904308479231,4.990725900726521,-5.161651066651359
-5.75,3.902222989003349,-3.9678832693102595,4.928210030929001,-5.035981927333618
-6.625,3.7853390284944184,-3.941674526139419,4.992777573783919,-5.019561602161268
-7.875,3.858875966155717,-3.982949509786871,4.9529894483505785,-5.080895049006345
-7.25,3.826519094642026,-4.048096111381305,4.968764941387531,-5.216129274248068
-2.5178571428571423,3.8798152971917674,-4.03226765004022,5.046890745775501,-5.124256565298838
-4.25,3.9289824192357945,-4.044018189745009,5.020696873011144,-5.040865624985427
-6.3392857142857135,3.882617382424659,-3.9458968418985365,4.981227999900558,-5.121066839661482
-5.892857142857142,3.8634477745075047,-3.9513378075660417,4.9243751297315255,-5.126664038485725
-4.160714285714287,3.9319119730492678,-4.0286579000119,5.040995461573968,-5.14602515455012
-0.8035714285714288,3.8836336745844333,-4.0474104942758,5.0143117020049495,-5.224924100323183
-2.25,3.862958689137236,-4.042157438268293,4.967984921209398,-5.187098527605914
